url,tipo,bairro,cidade,objetivo,preco,area_util,quartos,suites,vagas
https://www.novasaopaulo.com.br/imovel/casa-assobradada-vila-fachini/JA33469,Casa Assobradada,Vila Fachini,São Paulo,Locação,1000.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-jabaquara/JA37137,Conjunto Comercial,Jabaquara,São Paulo,Locação,1000.0,25.0,,,
https://www.novasaopaulo.com.br/imovel/comercial-saude/JA40004,Comercial,Saúde,São Paulo,Locação,1000.0,30.0,,,1.0
https://www.novasaopaulo.com.br/imovel/conj-comercial-saude/JA39435,Conjunto Comercial,Saúde,São Paulo,Locação,1000.0,30.0,,,1.0
https://www.novasaopaulo.com.br/imovel/kit-vila-clementino/JA40725,Kitnet,Vila Clementino,São Paulo,Locação,1000.0,14.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-vila-parque-jabaquara/JA37370,Conjunto Comercial,Vila Parque Jabaquara,São Paulo,Locação,1000.0,30.0,,,
https://www.novasaopaulo.com.br/imovel/kit-vila-clementino/JA40728,Kitnet,Vila Clementino,São Paulo,Locação,1000.0,18.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-gumercindo/JA41114,Casa Térrea,Vila Gumercindo,São Paulo,Locação,1000.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/casa-terrea-vila-do-encontro/JA38316,Casa Térrea,Vila do Encontro,São Paulo,Locação,1050.0,35.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/JA4130,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1100.0,15.0,,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-mirandopolis/JA28633,Conjunto Comercial,Mirandópolis,São Paulo,Locação,1100.0,20.0,2.0,,
https://www.novasaopaulo.com.br/imovel/apartamento-jardim-miriam-zona-sul/JA25340,Apartamento,Jardim Miriam Zona Sul,São Paulo,Locação,1100.0,40.0,1.0,,
https://www.novasaopaulo.com.br/imovel/conj-comercial-vila-parque-jabaquara/JA34076,Conjunto Comercial,Vila Parque Jabaquara,São Paulo,Locação,1100.0,22.0,,,
